review_id,prompt_version,true_stars,predicted_stars,explanation,json_valid
39,v3,2,2,Mostly negative experience.,True
40,v1,3,4,Mostly positive experience.,True
40,v2,3,2,Mostly negative experience.,True
40,v3,3,4,Mostly positive experience.,True
41,v1,1,3,Mixed or neutral sentiment.,True
41,v2,1,2,Mostly negative experience.,True
41,v3,1,3,Mixed or neutral sentiment.,True
42,v1,1,3,Mixed or neutral sentiment.,True
42,v2,1,2,Mostly negative experience.,True
42,v3,1,3,Mixed or neutral sentiment.,True
43,v1,3,4,Mostly positive experience.,True
43,v2,3,1,Very negative sentiment detected.,True
43,v3,3,4,Mostly positive experience.,True
44,v1,4,5,Very positive sentiment detected.,True
44,v2,4,1,Very negative sentiment detected.,True
44,v3,4,5,Very positive sentiment detected.,True
45,v1,4,5,Very positive sentiment detected.,True
45,v2,4,2,Mostly negative experience.,True
45,v3,4,5,Very positive sentiment detected.,True
46,v1,4,5,Very positive sentiment detected.,True
46,v2,4,1,Very negative sentiment detected.,True
46,v3,4,4,Mostly positive experience.,True
47,v1,5,5,Very positive sentiment detected.,True
47,v2,5,1,Very negative sentiment detected.,True
47,v3,5,5,Very positive sentiment detected.,True
48,v1,4,4,Mostly positive experience.,True
48,v2,4,2,Mostly negative experience.,True
48,v3,4,4,Mostly positive experience.,True
49,v1,1,2,Mostly negative experience.,True
49,v2,1,2,Mostly negative experience.,True
49,v3,1,2,Mostly negative experience.,True
50,v1,1,3,Mixed or neutral sentiment.,True
50,v2,1,2,Mostly negative experience.,True
50,v3,1,3,Mixed or neutral sentiment.,True
51,v1,3,4,Mostly positive experience.,True
51,v2,3,1,Very negative sentiment detected.,True
51,v3,3,4,Mostly positive experience.,True
52,v1,4,5,Very positive sentiment detected.,True
52,v2,4,1,Very negative sentiment detected.,True
52,v3,4,5,Very positive sentiment detected.,True
53,v1,4,4,Mostly positive experience.,True
53,v2,4,1,Very negative sentiment detected.,True
53,v3,4,5,Very positive sentiment detected.,True
54,v1,4,4,Mostly positive experience.,True
54,v2,4,1,Very negative sentiment detected.,True
54,v3,4,5,Very positive sentiment detected.,True
55,v1,3,5,Very positive sentiment detected.,True
55,v2,3,1,Very negative sentiment detected.,True
55,v3,3,5,Very positive sentiment detected.,True
56,v1,5,5,Very positive sentiment detected.,True
56,v2,5,2,Mostly negative experience.,True
56,v3,5,5,Very positive sentiment detected.,True
57,v1,5,5,Very positive sentiment detected.,True
57,v2,5,2,Mostly negative experience.,True
57,v3,5,5,Very positive sentiment detected.,True
58,v1,5,3,Mixed or neutral sentiment.,True
58,v2,5,1,Very negative sentiment detected.,True
58,v3,5,3,Mixed or neutral sentiment.,True
59,v1,1,4,Mostly positive experience.,True
59,v2,1,2,Mostly negative experience.,True
59,v3,1,5,Very positive sentiment detected.,True
60,v1,2,2,Mostly negative experience.,True
60,v2,2,1,Very negative sentiment detected.,True
60,v3,2,2,Mostly negative experience.,True
61,v1,2,3,Mixed or neutral sentiment.,True
61,v2,2,2,Mostly negative experience.,True
61,v3,2,3,Mixed or neutral sentiment.,True
62,v1,4,5,Very positive sentiment detected.,True
62,v2,4,1,Very negative sentiment detected.,True
62,v3,4,5,Very positive sentiment detected.,True
63,v1,3,3,Mixed or neutral sentiment.,True
63,v2,3,2,Mostly negative experience.,True
63,v3,3,3,Mixed or neutral sentiment.,True
64,v1,4,4,Mostly positive experience.,True
64,v2,4,2,Mostly negative experience.,True
64,v3,4,5,Very positive sentiment detected.,True
65,v1,2,4,Mostly positive experience.,True
65,v2,2,1,Very negative sentiment detected.,True
65,v3,2,5,Very positive sentiment detected.,True
66,v1,5,5,Very positive sentiment detected.,True
66,v2,5,1,Very negative sentiment detected.,True
66,v3,5,5,Very positive sentiment detected.,True
67,v1,5,4,Mostly positive experience.,True
67,v2,5,2,Mostly negative experience.,True
67,v3,5,4,Mostly positive experience.,True
68,v1,2,3,Mixed or neutral sentiment.,True
68,v2,2,1,Very negative sentiment detected.,True
68,v3,2,3,Mixed or neutral sentiment.,True
69,v1,4,4,Mostly positive experience.,True
69,v2,4,2,Mostly negative experience.,True
69,v3,4,4,Mostly positive experience.,True
70,v1,3,2,Mostly negative experience.,True
70,v2,3,1,Very negative sentiment detected.,True
70,v3,3,2,Mostly negative experience.,True
71,v1,2,3,Mixed or neutral sentiment.,True
71,v2,2,1,Very negative sentiment detected.,True
71,v3,2,3,Mixed or neutral sentiment.,True
72,v1,5,5,Very positive sentiment detected.,True
72,v2,5,2,Mostly negative experience.,True
72,v3,5,5,Very positive sentiment detected.,True
73,v1,4,4,Mostly positive experience.,True
73,v2,4,1,Very negative sentiment detected.,True
73,v3,4,5,Very positive sentiment detected.,True
74,v1,3,4,Mostly positive experience.,True
74,v2,3,1,Very negative sentiment detected.,True
74,v3,3,5,Very positive sentiment detected.,True
75,v1,5,4,Mostly positive experience.,True
75,v2,5,2,Mostly negative experience.,True
75,v3,5,4,Mostly positive experience.,True
76,v1,2,3,Mixed or neutral sentiment.,True
76,v2,2,1,Very negative sentiment detected.,True
76,v3,2,3,Mixed or neutral sentiment.,True
77,v1,5,4,Mostly positive experience.,True
77,v2,5,1,Very negative sentiment detected.,True
77,v3,5,5,Very positive sentiment detected.,True
78,v1,3,5,Very positive sentiment detected.,True
78,v2,3,1,Very negative sentiment detected.,True
78,v3,3,5,Very positive sentiment detected.,True
79,v1,5,5,Very positive sentiment detected.,True
79,v2,5,2,Mostly negative experience.,True
79,v3,5,5,Very positive sentiment detected.,True
80,v1,4,4,Mostly positive experience.,True
80,v2,4,1,Very negative sentiment detected.,True
80,v3,4,4,Mostly positive experience.,True
81,v1,4,5,Very positive sentiment detected.,True
81,v2,4,2,Mostly negative experience.,True
81,v3,4,4,Mostly positive experience.,True
82,v1,4,5,Very positive sentiment detected.,True
82,v2,4,2,Mostly negative experience.,True
82,v3,4,5,Very positive sentiment detected.,True
83,v1,4,5,Very positive sentiment detected.,True
83,v2,4,1,Very negative sentiment detected.,True
83,v3,4,4,Mostly positive experience.,True
84,v1,4,4,Mostly positive experience.,True
84,v2,4,1,Very negative sentiment detected.,True
84,v3,4,5,Very positive sentiment detected.,True
85,v1,5,4,Mostly positive experience.,True
85,v2,5,2,Mostly negative experience.,True
85,v3,5,5,Very positive sentiment detected.,True
86,v1,5,4,Mostly positive experience.,True
86,v2,5,1,Very negative sentiment detected.,True
86,v3,5,4,Mostly positive experience.,True
87,v1,4,3,Mixed or neutral sentiment.,True
87,v2,4,1,Very negative sentiment detected.,True
87,v3,4,3,Mixed or neutral sentiment.,True
88,v1,4,3,Mixed or neutral sentiment.,True
88,v2,4,1,Very negative sentiment detected.,True
88,v3,4,3,Mixed or neutral sentiment.,True
89,v1,3,4,Mostly positive experience.,True
89,v2,3,1,Very negative sentiment detected.,True
89,v3,3,4,Mostly positive experience.,True
90,v1,4,4,Mostly positive experience.,True
90,v2,4,1,Very negative sentiment detected.,True
90,v3,4,5,Very positive sentiment detected.,True
91,v1,3,4,Mostly positive experience.,True
91,v2,3,2,Mostly negative experience.,True
91,v3,3,4,Mostly positive experience.,True
92,v1,3,3,Mixed or neutral sentiment.,True
92,v2,3,1,Very negative sentiment detected.,True
92,v3,3,3,Mixed or neutral sentiment.,True
93,v1,5,4,Mostly positive experience.,True
93,v2,5,2,Mostly negative experience.,True
93,v3,5,5,Very positive sentiment detected.,True
94,v1,4,5,Very positive sentiment detected.,True
94,v2,4,1,Very negative sentiment detected.,True
94,v3,4,5,Very positive sentiment detected.,True
95,v1,5,4,Mostly positive experience.,True
95,v2,5,2,Mostly negative experience.,True
95,v3,5,5,Very positive sentiment detected.,True
96,v1,4,4,Mostly positive experience.,True
96,v2,4,2,Mostly negative experience.,True
96,v3,4,5,Very positive sentiment detected.,True
97,v1,4,2,Mostly negative experience.,True
97,v2,4,1,Very negative sentiment detected.,True
97,v3,4,2,Mostly negative experience.,True
98,v1,4,4,Mostly positive experience.,True
98,v2,4,1,Very negative sentiment detected.,True
98,v3,4,5,Very positive sentiment detected.,True
99,v1,2,3,Mixed or neutral sentiment.,True
99,v2,2,2,Mostly negative experience.,True
99,v3,2,3,Mixed or neutral sentiment.,True
100,v1,4,5,Very positive sentiment detected.,True
100,v2,4,2,Mostly negative experience.,True
100,v3,4,5,Very positive sentiment detected.,True
101,v1,5,5,Very positive sentiment detected.,True
101,v2,5,2,Mostly negative experience.,True
101,v3,5,4,Mostly positive experience.,True
102,v1,4,4,Mostly positive experience.,True
102,v2,4,1,Very negative sentiment detected.,True
102,v3,4,5,Very positive sentiment detected.,True
103,v1,4,4,Mostly positive experience.,True
103,v2,4,2,Mostly negative experience.,True
103,v3,4,4,Mostly positive experience.,True
104,v1,2,5,Very positive sentiment detected.,True
104,v2,2,1,Very negative sentiment detected.,True
104,v3,2,4,Mostly positive experience.,True
105,v1,3,4,Mostly positive experience.,True
105,v2,3,1,Very negative sentiment detected.,True
105,v3,3,5,Very positive sentiment detected.,True
106,v1,1,1,Very negative sentiment detected.,True
106,v2,1,2,Mostly negative experience.,True
106,v3,1,2,Mostly negative experience.,True
107,v1,2,4,Mostly positive experience.,True
107,v2,2,2,Mostly negative experience.,True
107,v3,2,5,Very positive sentiment detected.,True
108,v1,5,4,Mostly positive experience.,True
108,v2,5,2,Mostly negative experience.,True
108,v3,5,5,Very positive sentiment detected.,True
109,v1,5,5,Very positive sentiment detected.,True
109,v2,5,1,Very negative sentiment detected.,True
109,v3,5,5,Very positive sentiment detected.,True
110,v1,4,4,Mostly positive experience.,True
110,v2,4,2,Mostly negative experience.,True
110,v3,4,5,Very positive sentiment detected.,True
111,v1,4,4,Mostly positive experience.,True
111,v2,4,1,Very negative sentiment detected.,True
111,v3,4,5,Very positive sentiment detected.,True
112,v1,4,4,Mostly positive experience.,True
112,v2,4,1,Very negative sentiment detected.,True
112,v3,4,5,Very positive sentiment detected.,True
113,v1,3,4,Mostly positive experience.,True
113,v2,3,1,Very negative sentiment detected.,True
113,v3,3,5,Very positive sentiment detected.,True
114,v1,5,5,Very positive sentiment detected.,True
114,v2,5,2,Mostly negative experience.,True
114,v3,5,4,Mostly positive experience.,True
115,v1,4,5,Very positive sentiment detected.,True
115,v2,4,1,Very negative sentiment detected.,True
115,v3,4,4,Mostly positive experience.,True
116,v1,3,5,Very positive sentiment detected.,True
116,v2,3,1,Very negative sentiment detected.,True
116,v3,3,4,Mostly positive experience.,True
117,v1,1,4,Mostly positive experience.,True
117,v2,1,2,Mostly negative experience.,True
117,v3,1,5,Very positive sentiment detected.,True
118,v1,5,4,Mostly positive experience.,True
118,v2,5,2,Mostly negative experience.,True
118,v3,5,4,Mostly positive experience.,True
119,v1,3,5,Very positive sentiment detected.,True
119,v2,3,2,Mostly negative experience.,True
119,v3,3,5,Very positive sentiment detected.,True
120,v1,1,3,Mixed or neutral sentiment.,True
120,v2,1,2,Mostly negative experience.,True
120,v3,1,3,Mixed or neutral sentiment.,True
121,v1,5,5,Very positive sentiment detected.,True
121,v2,5,2,Mostly negative experience.,True
121,v3,5,5,Very positive sentiment detected.,True
122,v1,4,4,Mostly positive experience.,True
122,v2,4,1,Very negative sentiment detected.,True
122,v3,4,5,Very positive sentiment detected.,True
123,v1,4,3,Mixed or neutral sentiment.,True
123,v2,4,2,Mostly negative experience.,True
123,v3,4,3,Mixed or neutral sentiment.,True
124,v1,4,4,Mostly positive experience.,True
124,v2,4,1,Very negative sentiment detected.,True
124,v3,4,4,Mostly positive experience.,True
125,v1,4,4,Mostly positive experience.,True
125,v2,4,2,Mostly negative experience.,True
125,v3,4,4,Mostly positive experience.,True
126,v1,4,3,Mixed or neutral sentiment.,True
126,v2,4,1,Very negative sentiment detected.,True
126,v3,4,3,Mixed or neutral sentiment.,True
127,v1,4,4,Mostly positive experience.,True
127,v2,4,2,Mostly negative experience.,True
127,v3,4,4,Mostly positive experience.,True
128,v1,5,4,Mostly positive experience.,True
128,v2,5,1,Very negative sentiment detected.,True
128,v3,5,4,Mostly positive experience.,True
129,v1,4,4,Mostly positive experience.,True
129,v2,4,1,Very negative sentiment detected.,True
129,v3,4,5,Very positive sentiment detected.,True
130,v1,3,4,Mostly positive experience.,True
130,v2,3,1,Very negative sentiment detected.,True
130,v3,3,4,Mostly positive experience.,True
131,v1,4,4,Mostly positive experience.,True
131,v2,4,2,Mostly negative experience.,True
131,v3,4,5,Very positive sentiment detected.,True
132,v1,3,3,Mixed or neutral sentiment.,True
132,v2,3,1,Very negative sentiment detected.,True
132,v3,3,3,Mixed or neutral sentiment.,True
133,v1,4,4,Mostly positive experience.,True
133,v2,4,1,Very negative sentiment detected.,True
133,v3,4,5,Very positive sentiment detected.,True
134,v1,5,3,Mixed or neutral sentiment.,True
134,v2,5,1,Very negative sentiment detected.,True
134,v3,5,3,Mixed or neutral sentiment.,True
135,v1,5,5,Very positive sentiment detected.,True
135,v2,5,2,Mostly negative experience.,True
135,v3,5,5,Very positive sentiment detected.,True
136,v1,4,5,Very positive sentiment detected.,True
136,v2,4,1,Very negative sentiment detected.,True
136,v3,4,5,Very positive sentiment detected.,True
137,v1,3,5,Very positive sentiment detected.,True
137,v2,3,1,Very negative sentiment detected.,True
137,v3,3,4,Mostly positive experience.,True
138,v1,4,5,Very positive sentiment detected.,True
138,v2,4,2,Mostly negative experience.,True
138,v3,4,5,Very positive sentiment detected.,True
139,v1,4,4,Mostly positive experience.,True
139,v2,4,2,Mostly negative experience.,True
139,v3,4,4,Mostly positive experience.,True
140,v1,1,5,Very positive sentiment detected.,True
140,v2,1,2,Mostly negative experience.,True
140,v3,1,4,Mostly positive experience.,True
141,v1,5,4,Mostly positive experience.,True
141,v2,5,1,Very negative sentiment detected.,True
141,v3,5,5,Very positive sentiment detected.,True
142,v1,4,5,Very positive sentiment detected.,True
142,v2,4,1,Very negative sentiment detected.,True
142,v3,4,5,Very positive sentiment detected.,True
143,v1,4,4,Mostly positive experience.,True
143,v2,4,1,Very negative sentiment detected.,True
143,v3,4,5,Very positive sentiment detected.,True
144,v1,3,3,Mixed or neutral sentiment.,True
144,v2,3,2,Mostly negative experience.,True
144,v3,3,3,Mixed or neutral sentiment.,True
145,v1,5,4,Mostly positive experience.,True
145,v2,5,2,Mostly negative experience.,True
145,v3,5,5,Very positive sentiment detected.,True
146,v1,5,4,Mostly positive experience.,True
146,v2,5,1,Very negative sentiment detected.,True
146,v3,5,5,Very positive sentiment detected.,True
147,v1,4,3,Mixed or neutral sentiment.,True
147,v2,4,2,Mostly negative experience.,True
147,v3,4,3,Mixed or neutral sentiment.,True
148,v1,4,5,Very positive sentiment detected.,True
148,v2,4,1,Very negative sentiment detected.,True
148,v3,4,5,Very positive sentiment detected.,True
149,v1,3,5,Very positive sentiment detected.,True
149,v2,3,2,Mostly negative experience.,True
149,v3,3,5,Very positive sentiment detected.,True
150,v1,4,4,Mostly positive experience.,True
150,v2,4,2,Mostly negative experience.,True
150,v3,4,4,Mostly positive experience.,True
151,v1,5,4,Mostly positive experience.,True
151,v2,5,1,Very negative sentiment detected.,True
151,v3,5,4,Mostly positive experience.,True
152,v1,5,5,Very positive sentiment detected.,True
152,v2,5,1,Very negative sentiment detected.,True
152,v3,5,5,Very positive sentiment detected.,True
153,v1,4,4,Mostly positive experience.,True
153,v2,4,1,Very negative sentiment detected.,True
153,v3,4,4,Mostly positive experience.,True
154,v1,2,3,Mixed or neutral sentiment.,True
154,v2,2,2,Mostly negative experience.,True
154,v3,2,3,Mixed or neutral sentiment.,True
155,v1,5,5,Very positive sentiment detected.,True
155,v2,5,1,Very negative sentiment detected.,True
155,v3,5,5,Very positive sentiment detected.,True
156,v1,4,5,Very positive sentiment detected.,True
156,v2,4,1,Very negative sentiment detected.,True
156,v3,4,5,Very positive sentiment detected.,True
157,v1,1,2,Mostly negative experience.,True
157,v2,1,2,Mostly negative experience.,True
157,v3,1,2,Mostly negative experience.,True
158,v1,2,5,Very positive sentiment detected.,True
158,v2,2,1,Very negative sentiment detected.,True
158,v3,2,4,Mostly positive experience.,True
159,v1,3,4,Mostly positive experience.,True
159,v2,3,2,Mostly negative experience.,True
159,v3,3,5,Very positive sentiment detected.,True
160,v1,4,5,Very positive sentiment detected.,True
160,v2,4,1,Very negative sentiment detected.,True
160,v3,4,5,Very positive sentiment detected.,True
161,v1,2,3,Mixed or neutral sentiment.,True
161,v2,2,1,Very negative sentiment detected.,True
161,v3,2,3,Mixed or neutral sentiment.,True
162,v1,1,2,Mostly negative experience.,True
162,v2,1,1,Very negative sentiment detected.,True
162,v3,1,1,Very negative sentiment detected.,True
163,v1,4,5,Very positive sentiment detected.,True
163,v2,4,1,Very negative sentiment detected.,True
163,v3,4,4,Mostly positive experience.,True
164,v1,4,5,Very positive sentiment detected.,True
164,v2,4,2,Mostly negative experience.,True
164,v3,4,5,Very positive sentiment detected.,True
165,v1,5,4,Mostly positive experience.,True
165,v2,5,1,Very negative sentiment detected.,True
165,v3,5,5,Very positive sentiment detected.,True
166,v1,4,4,Mostly positive experience.,True
166,v2,4,1,Very negative sentiment detected.,True
166,v3,4,4,Mostly positive experience.,True
167,v1,4,4,Mostly positive experience.,True
167,v2,4,2,Mostly negative experience.,True
167,v3,4,4,Mostly positive experience.,True
168,v1,4,1,Very negative sentiment detected.,True
168,v2,4,2,Mostly negative experience.,True
168,v3,4,2,Mostly negative experience.,True
169,v1,4,4,Mostly positive experience.,True
169,v2,4,1,Very negative sentiment detected.,True
169,v3,4,5,Very positive sentiment detected.,True
170,v1,3,5,Very positive sentiment detected.,True
170,v2,3,2,Mostly negative experience.,True
170,v3,3,4,Mostly positive experience.,True
171,v1,3,4,Mostly positive experience.,True
171,v2,3,2,Mostly negative experience.,True
171,v3,3,5,Very positive sentiment detected.,True
172,v1,4,4,Mostly positive experience.,True
172,v2,4,1,Very negative sentiment detected.,True
172,v3,4,5,Very positive sentiment detected.,True
173,v1,5,3,Mixed or neutral sentiment.,True
173,v2,5,1,Very negative sentiment detected.,True
173,v3,5,3,Mixed or neutral sentiment.,True
174,v1,5,5,Very positive sentiment detected.,True
174,v2,5,2,Mostly negative experience.,True
174,v3,5,4,Mostly positive experience.,True
175,v1,4,4,Mostly positive experience.,True
175,v2,4,1,Very negative sentiment detected.,True
175,v3,4,5,Very positive sentiment detected.,True
176,v1,3,1,Very negative sentiment detected.,True
176,v2,3,1,Very negative sentiment detected.,True
176,v3,3,2,Mostly negative experience.,True
177,v1,1,3,Mixed or neutral sentiment.,True
177,v2,1,2,Mostly negative experience.,True
177,v3,1,3,Mixed or neutral sentiment.,True
178,v1,3,4,Mostly positive experience.,True
178,v2,3,1,Very negative sentiment detected.,True
178,v3,3,4,Mostly positive experience.,True
179,v1,4,2,Mostly negative experience.,True
179,v2,4,2,Mostly negative experience.,True
179,v3,4,2,Mostly negative experience.,True
180,v1,3,4,Mostly positive experience.,True
180,v2,3,2,Mostly negative experience.,True
180,v3,3,4,Mostly positive experience.,True
181,v1,5,4,Mostly positive experience.,True
181,v2,5,1,Very negative sentiment detected.,True
181,v3,5,5,Very positive sentiment detected.,True
182,v1,5,5,Very positive sentiment detected.,True
182,v2,5,1,Very negative sentiment detected.,True
182,v3,5,4,Mostly positive experience.,True
183,v1,5,5,Very positive sentiment detected.,True
183,v2,5,1,Very negative sentiment detected.,True
183,v3,5,5,Very positive sentiment detected.,True
184,v1,4,3,Mixed or neutral sentiment.,True
184,v2,4,1,Very negative sentiment detected.,True
184,v3,4,3,Mixed or neutral sentiment.,True
185,v1,2,5,Very positive sentiment detected.,True
185,v2,2,2,Mostly negative experience.,True
185,v3,2,4,Mostly positive experience.,True
186,v1,4,5,Very positive sentiment detected.,True
186,v2,4,1,Very negative sentiment detected.,True
186,v3,4,5,Very positive sentiment detected.,True
187,v1,3,4,Mostly positive experience.,True
187,v2,3,1,Very negative sentiment detected.,True
187,v3,3,5,Very positive sentiment detected.,True
188,v1,5,4,Mostly positive experience.,True
188,v2,5,2,Mostly negative experience.,True
188,v3,5,5,Very positive sentiment detected.,True
189,v1,5,5,Very positive sentiment detected.,True
189,v2,5,2,Mostly negative experience.,True
189,v3,5,4,Mostly positive experience.,True
190,v1,3,4,Mostly positive experience.,True
190,v2,3,2,Mostly negative experience.,True
190,v3,3,5,Very positive sentiment detected.,True
191,v1,4,5,Very positive sentiment detected.,True
191,v2,4,2,Mostly negative experience.,True
191,v3,4,5,Very positive sentiment detected.,True
192,v1,5,5,Very positive sentiment detected.,True
192,v2,5,1,Very negative sentiment detected.,True
192,v3,5,4,Mostly positive experience.,True
193,v1,3,1,Very negative sentiment detected.,True
193,v2,3,2,Mostly negative experience.,True
193,v3,3,1,Very negative sentiment detected.,True
194,v1,5,4,Mostly positive experience.,True
194,v2,5,2,Mostly negative experience.,True
194,v3,5,5,Very positive sentiment detected.,True
195,v1,4,3,Mixed or neutral sentiment.,True
195,v2,4,1,Very negative sentiment detected.,True
195,v3,4,3,Mixed or neutral sentiment.,True
196,v1,4,4,Mostly positive experience.,True
196,v2,4,2,Mostly negative experience.,True
196,v3,4,5,Very positive sentiment detected.,True
197,v1,3,5,Very positive sentiment detected.,True
197,v2,3,2,Mostly negative experience.,True
197,v3,3,5,Very positive sentiment detected.,True
198,v1,4,5,Very positive sentiment detected.,True
198,v2,4,1,Very negative sentiment detected.,True
198,v3,4,5,Very positive sentiment detected.,True
199,v1,5,5,Very positive sentiment detected.,True
199,v2,5,1,Very negative sentiment detected.,True
199,v3,5,5,Very positive sentiment detected.,True
